id,lon,lat,E,N,Up,Se,Sn,Su,x,y
ALDR,-122.7161,39.6547,-0.00031,-0.00157,0.006,0.00029,0.00035,0.00112,217169.6094392433,-82966.72147000003
BCUT,-124.0826,40.8285,0.01489,0.02178,-0.03311,0.00031,0.00038,0.0012,98332.92928448615,47700.57714999996
CACC,-124.1843,41.7456,0.00138,-0.001,-0.00769,0.00024,0.00029,0.00091,88513.55140643763,149792.0574400005
CHCO,-121.7994,39.7151,0.00131,0.00739,-0.01639,0.00033,0.0004,0.00127,295477.426369382,-76242.99950999988
HCRO,-121.4699,40.8159,0.00034,-0.00017,0.00025,0.00023,0.00028,0.00089,318467.4718061349,46297.94641000006
ORVB,-121.5003,39.5546,0.00101,-0.00019,-0.00093,0.00024,0.00029,0.0009,321835.4605209017,-94109.84345999977
P058,-124.0754,40.8763,0.01592,0.00579,-4e-05,0.00028,0.00034,0.00107,98868.04834818639,53021.66837000021
P060,-122.4149,40.9976,-0.00069,0.00072,-9e-05,0.00026,0.00032,0.001,238197.31710123533,66524.77223999999
P154,-123.3601,41.8071,0.00497,-0.00129,-0.00362,0.00025,0.00031,0.00097,156818.45637333777,156638.23128999997
P155,-123.1888,41.2724,0.00619,0.00297,-0.01406,0.00025,0.00031,0.00097,172452.42195191354,97115.48075999987
P157,-124.3081,40.2475,-0.01268,0.0251,-0.01559,0.00041,0.00049,0.00156,80029.57007582349,-16976.284749999588
P158,-124.1072,40.4225,0.01245,0.01874,-0.03254,0.00024,0.00029,0.00092,96847.76194070325,2504.697750000095
P159,-124.2828,40.5048,0.04866,0.03753,-0.01029,0.00024,0.00029,0.00091,81865.99295918153,11666.325520000495
P160,-124.1333,40.5513,0.02767,0.01301,-0.00573,0.00024,0.00029,0.00091,94454.4516058156,16842.7008699999
P161,-124.2131,40.6374,0.02338,0.02008,-0.0012,0.00042,0.00051,0.0016,87591.81629993166,26427.344260000104
P162,-124.237,40.6911,0.02499,0.01642,-0.00515,0.00025,0.0003,0.00096,85504.00070304442,32405.222890000012
P163,-124.0573,40.2196,-0.00808,0.01277,-0.02182,0.00024,0.00029,0.00092,101380.82747281053,-20082.109959999863
P164,-123.6933,40.1193,0.00027,0.00502,0.00823,0.00025,0.00031,0.00097,132516.9140224399,-31247.495929999546
P165,-123.8533,40.2455,9e-05,0.00527,-0.01773,0.00034,0.00041,0.0013,118675.65904180003,-17198.92454999986
P166,-123.8628,40.4352,0.01046,0.00309,0.00945,0.00031,0.00037,0.00118,117537.49387279924,3918.4604800003594
P167,-123.8802,40.5437,0.01387,0.00614,-0.00246,0.00024,0.00029,0.00093,115875.69722316352,15996.66963000029
P168,-123.8815,40.6686,0.0141,0.01146,-0.00103,0.00036,0.00044,0.00138,115549.58269243925,29900.525139999918
P169,-123.9677,40.7911,0.01781,0.01091,-0.01004,0.00024,0.0003,0.00093,108072.13076878448,43537.21289000017
P170,-123.8633,40.8802,0.0117,0.00327,-0.00882,0.00049,0.00059,0.00187,116713.98377539622,53455.815980000385
P184,-123.7089,39.1172,-0.00273,0.00321,0.00379,0.00024,0.00029,0.00093,133102.2313634334,-142801.16772000017
P185,-123.7493,39.2613,-0.00495,0.00619,-0.00152,0.00024,0.00029,0.00091,129347.46269180965,-126759.97013
P186,-123.5182,39.1502,-0.00228,-0.00032,0.00698,0.00028,0.00034,0.00108,149502.59357447666,-139127.61102000004
P187,-123.6025,39.3525,0.00282,0.00153,0.01201,0.00043,0.00051,0.00163,141815.4364878899,-116607.59524999993
P190,-123.204,39.242,-0.00395,0.00338,-0.0001,0.00024,0.00029,0.00093,176396.18691327324,-128908.44420000013
P192,-123.1052,39.3197,0.00118,0.00087,0.00398,0.00039,0.00047,0.0015,184709.2471971552,-120258.88797000013
P205,-122.9631,39.3981,0.0015,0.00207,-0.00913,0.00025,0.0003,0.00096,196725.92367512026,-111531.4078099999
P207,-122.7186,39.26,-0.00186,0.00116,0.00232,0.00024,0.00028,0.0009,218189.00465884703,-126904.68600000006
P208,-122.3039,39.1093,-0.00128,-0.0008,0.00161,0.00025,0.0003,0.00093,254478.26008363973,-143680.5949300001
P270,-122.0552,39.2438,-0.00273,0.00052,0.00245,0.00024,0.00028,0.0009,275433.07753749413,-128708.06837999981
P312,-123.6984,39.5292,0.01507,0.00277,-0.04285,0.00082,0.00099,0.00312,133222.04227472577,-96937.3689199995
P314,-123.5818,39.6857,-0.00477,0.00538,0.00168,0.00024,0.00029,0.00091,142910.06647226762,-79515.80457000017
P315,-123.7169,39.8636,-0.00769,0.00525,0.00487,0.00027,0.00032,0.00102,130997.40830040316,-59711.99436000005
P317,-123.5518,39.9057,-0.00269,0.00389,-0.00821,0.00031,0.00037,0.00118,145015.48592196108,-55025.4265699995
P318,-123.3719,39.4524,-0.00413,0.005,-0.00036,0.00024,0.00029,0.00091,161433.90272181385,-105486.73724000015
P319,-123.2951,39.7071,0.00025,0.00064,0.00802,0.00025,0.0003,0.00095,167418.94448431078,-77133.55871000017
P320,-123.1868,39.4928,-0.00127,0.00132,-0.00445,0.00025,0.00031,0.00097,177241.4011446932,-100989.41327999956
P321,-123.3949,39.8972,-0.00236,0.0016,-0.00344,0.00028,0.00034,0.00107,158433.40087932223,-55971.64572000006
P322,-123.1825,39.9621,-0.00133,0.00262,-9e-05,0.00024,0.00029,0.00093,176405.93177344906,-48746.98420999989
P324,-123.6557,40.2568,0.0018,0.00277,-0.00216,0.00024,0.00029,0.00091,135442.84011366745,-15941.009680000023
P325,-123.8826,41.1517,0.00622,0.00532,-0.01638,0.00024,0.00029,0.0009,114616.20009487544,83679.16882999995
P326,-123.6989,40.5753,0.01232,0.00527,-0.0049,0.00024,0.0003,0.00093,131150.51279571993,19514.37847
P327,-123.5731,40.4789,0.00359,0.00364,0.00187,0.00026,0.00032,0.00101,141991.39772818066,8783.140110000491
P329,-123.452,40.0822,-0.00031,0.00378,0.00101,0.00024,0.00028,0.0009,153141.49605880256,-35377.46421999981
P330,-123.1356,40.3241,0.00458,0.00267,-0.00661,0.00023,0.00028,0.0009,179448.85205149485,-8449.180409999686
P331,-123.3241,40.7329,0.00651,0.00028,0.00548,0.00024,0.00028,0.0009,162456.8708659623,37058.39471000024
P332,-123.1745,40.5467,0.00352,0.00094,-0.00427,0.00024,0.00029,0.00092,175565.21943428856,16330.629330000302
P333,-122.9758,39.6214,-0.002,0.00254,-0.00877,0.00024,0.00029,0.00092,195005.70986038545,-86673.6741399997
P334,-122.7359,39.4936,-0.00117,-0.00107,0.00213,0.00024,0.00028,0.0009,215973.9623123158,-100900.35735999976
P335,-122.8736,39.7262,0.00013,0.00382,-0.0017,0.00024,0.00028,0.0009,203460.1360694662,-75007.34861999999
P337,-122.8688,40.2962,0.00423,-0.00204,0.0032,0.00024,0.00029,0.00091,202175.6366202712,-11555.005619999964
P338,-122.923,40.7476,0.00157,-0.00067,-0.00135,0.00024,0.00029,0.00092,196247.78240484395,38694.797239999985
P339,-122.6682,40.0341,0.00397,0.00165,-0.00905,0.00024,0.00029,0.00091,220055.56421891312,-40731.95140999959
P341,-122.6069,40.6507,0.00161,-0.00028,-0.00695,0.00025,0.0003,0.00096,223230.5920453182,27907.898930000214
P343,-123.3342,40.8871,0.00565,0.0032,-0.0043,0.00023,0.00028,0.00089,161229.7824037072,54223.92328999979
P344,-122.028,39.9291,-0.00048,0.00243,-0.0058,0.00024,0.00029,0.00091,275044.3238343816,-52420.54091000003
P345,-122.2708,40.2712,0.00247,-0.00094,-0.00094,0.00026,0.00031,0.00099,253042.35277819834,-14338.003119999805
P348,-121.828,40.9055,0.00448,-0.00149,-0.00698,0.00024,0.00029,0.00091,287908.38113644667,56272.20945000055
P349,-122.3194,40.7311,0.00246,0.00044,0.0002,0.00026,0.00031,0.00098,247213.762669209,36858.01888999992
P655,-122.2063,41.2945,0.00672,-0.00187,0.01205,0.00037,0.00044,0.0014,254568.06922569987,99575.65055000008
P657,-122.2938,41.3812,0.00293,-0.00137,-0.00737,0.00025,0.0003,0.00094,246920.8624320616,109227.08588000013
P658,-122.1909,41.4792,8e-05,-0.00169,0.00061,0.00024,0.00029,0.00091,255130.31183736853,120136.43608000001
P659,-122.0927,41.4537,-0.00083,-0.0017,-0.00361,0.00028,0.00034,0.00107,263423.81760568876,117297.7786299999
P660,-122.0677,41.4096,-0.00904,-0.00445,0.01469,0.00035,0.00043,0.00135,265690.0787454481,112388.57103999988
P663,-122.1529,41.5319,0.0018,-9e-05,-0.00078,0.00027,0.00033,0.00103,258089.3794949734,126002.99481000018
P664,-121.4959,40.4732,0.0053,-0.00013,0.00897,0.00027,0.00032,0.00102,317905.1592513119,8148.616679999992
P665,-121.5258,40.4561,0.00217,-0.00192,0.00429,0.00025,0.0003,0.00095,315453.4626959007,6245.046390000078
P666,-121.5145,40.4653,-0.00049,0.00082,-0.00571,0.00024,0.00029,0.00092,316367.2849874803,7269.189470000064
P667,-121.4674,40.4658,0.00198,-0.00554,0.00807,0.00027,0.00033,0.00104,320353.897425304,7324.84942000033
P668,-121.4631,40.509,0.00092,-0.00204,-0.00365,0.00026,0.00031,0.001,320511.6988986203,12133.869100000196
P669,-121.6038,40.4921,0.00553,-0.00172,0.00605,0.00031,0.00037,0.00118,308681.0335117649,10252.56279000023
P670,-121.5772,40.5399,0.00261,-0.00119,-0.00275,0.00029,0.00035,0.00111,310711.34795840003,15573.654010000484
P671,-121.4282,40.4091,0.00073,-0.00217,0.011,0.00029,0.00035,0.00112,323946.8824309752,1013.0110900004074
P672,-121.5069,41.7116,0.0028,0.00044,-0.01078,0.00024,0.00029,0.0009,311054.2053609044,146007.18083999984
P673,-121.613,41.5858,0.00718,-0.00325,-0.0022,0.00031,0.00037,0.00119,302827.9793184111,132003.13742000004
P674,-121.49,41.6163,0.00087,0.00071,0.00137,0.00024,0.00029,0.00093,312921.40994558786,135398.39437000043
P784,-122.4205,41.8308,0.00035,-0.00012,0.00215,0.00024,0.0003,0.00093,234696.88291442324,159276.51292000053
P786,-123.9808,41.8455,0.00564,-0.00198,-0.01041,0.00027,0.00032,0.00102,105251.41145903771,160912.9154500003
P793,-123.5731,40.4788,0.00639,0.00476,0.00788,0.00026,0.00032,0.00101,141991.6092299388,8772.00812000012
P794,-122.9638,39.8457,0.00182,0.00215,-0.00338,0.00024,0.00028,0.0009,195397.81532895795,-61704.62056999975
PLMO,-121.6046,39.4333,0.01332,0.00301,0.01149,0.00036,0.00043,0.00136,313429.8277715023,-107612.94732999954
PTSG,-124.2552,41.7827,0.00144,0.00084,-0.02107,0.00024,0.00028,0.0009,82577.0682320569,153922.02572999996
TMB2,-121.3295,39.2156,-0.00411,0.00749,-0.02888,0.00042,0.0005,0.00159,338133.65101379366,-131847.2895599996
TRND,-124.1509,41.0539,0.00908,0.00783,-0.00787,0.00024,0.00029,0.00092,92264.44833800796,72792.08261000001
YBH2,-122.7107,41.7317,0.00448,-0.00094,-0.00106,0.00028,0.00034,0.00108,210951.59486145343,148244.71082999976
